Iloœæ przeklamanych bitów w zale¿noœci od szumu i modulacji;;;;;
noise;bpsk;qpsk;psk8;psk16;oryginal_size
0.001;0;0;0;0;25496
0.009;0;0;0;55;25496
0.01;0;0;0;66;25496
0.03;0;0;31;1323;25496
0.05;0;0;206;2584;25496
0.1;0;17;1306;4552;25496
0.2;32;308;3286;6289;25496
0.5;1258;1954;6564;8606;25496
;;;;;
;;;;;
Przek³amanie bitów w procentach:;;;;;
noise;bpsk;qpsk;psk8;psk16;oryginal_size
0.001;0;0;0;0;25496
0.009;0;0;0;0,22;25496
0.01;0;0;0;0,26;25496
0.03;0;0;0,12;5,19;25496
0.05;0;0;0,81;10,13;25496
0.1;0;0,07;5,12;17,85;25496
0.2;0,13;1,21;12,89;24,67;25496
0.5;4,93;7,66;25,75;33,75;25496
